date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-11-20,2513344000.0,97914250000.0,10850985000.0,94066860000.0,12461132141.34,47547470000.0,26661645000.0
2017-11-21,2526964000.0,98012250000.0,10969575000.0,94080760000.0,12641133867.28,48173000000.0,26842329000.0
2017-11-22,2486104000.0,97779500000.0,10979625000.0,92927060000.0,12602399318.66,48022010000.0,26984295000.0
2017-11-24,2497000000.0,97706000000.0,11085150000.0,91456440000.0,12645690873.0,47964490000.0,26932671000.0
2017-11-27,2506988000.0,97522250000.0,10779630000.0,89471520000.0,12670754404.46,47569040000.0,26941275000.0
2017-11-28,2531504000.0,96750500000.0,10877115000.0,90597420000.0,12602399318.66,47820690000.0,27059580000.0
2017-11-29,2582352000.0,99335250000.0,10869075000.0,92204260000.0,12597842312.94,47238300000.0,26822970000.0
2017-11-30,2611408000.0,99678250000.0,10985655000.0,90686380000.0,12340371489.76,47195160000.0,26646588000.0
2017-12-01,2625936000.0,99482250000.0,11146455000.0,93483060000.0,12488474175.66,47454000000.0,26936973000.0
2017-12-04,2616856000.0,100352000000.0,10956510000.0,92852000000.0,12625184347.26,48352750000.0,26904708000.0
2017-12-05,2595972000.0,98784000000.0,10960530000.0,92004100000.0,12379106038.38,47410860000.0,26418582000.0
2017-12-06,2575088000.0,98600250000.0,10686165000.0,89693920000.0,12374549032.66,47497140000.0,26461602000.0
2017-12-07,2619580000.0,97216000000.0,10949475000.0,90411160000.0,12381384541.24,47583420000.0,26683155000.0
2017-12-08,2590524000.0,96138000000.0,11132385000.0,90211000000.0,12538601238.58,48108290000.0,26936973000.0
2017-12-11,2614132000.0,96003250000.0,11185650000.0,92154220000.0,12467967649.92,48194570000.0,26984295000.0
2017-12-12,2595064000.0,96713750000.0,11208765000.0,91737220000.0,12224167843.9,47849450000.0,26635833000.0
2017-12-13,2633200000.0,97118000000.0,11214795000.0,91462000000.0,12112521203.76,47029790000.0,26175519000.0
2017-12-14,2655900000.0,96750500000.0,11158515000.0,91373040000.0,12032773603.66,46864420000.0,26169066000.0
2017-12-15,2695852000.0,97436500000.0,11006760000.0,89602180000.0,12303915444.0,47418050000.0,26906859000.0
2017-12-18,2635924000.0,97228250000.0,11019825000.0,89857940000.0,12527208724.28,47885400000.0,27227358000.0
2017-12-19,2669520000.0,96187000000.0,11236905000.0,88117660000.0,12666197398.74,48985470000.0,27220905000.0
2017-12-20,2805720000.0,94790500000.0,11782620000.0,87953640000.0,12490752678.52,48676300000.0,26560548000.0
2017-12-21,2845672000.0,95403000000.0,12371550000.0,92557320000.0,12335814484.04,47698460000.0,26188425000.0
